name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
NY city,2015-01-01,3.7,-3.1,0.3,1.1,-7.9,-3.9,-12.3,38.7,0,0,0,,0,0,45.8,23,247.6,1018.6,11.3,16,107.9,9.2,5,,2015-01-01T07:20:09,2015-01-01T16:39:07,0.38,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-02,5.7,2,3.5,2.3,-2.1,-0.1,-8.3,42,0.024,100,4.17,rain,0,0,45.8,27.4,267.2,1022.9,37.1,16,98.4,8.6,4,,2015-01-02T07:20:15,2015-01-02T16:39:58,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-03,4.7,0.3,2,1.4,-3.4,-1.2,-3.1,70.9,17.008,100,45.83,"rain,snow",0,0.6,38.5,15.9,61.8,1031.1,69.4,10.1,28.1,2.4,1,,2015-01-03T07:20:19,2015-01-03T16:40:50,0.45,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-04,13,4.9,8.9,13,2.1,8,7,88.5,8.886,100,54.17,rain,0,0.5,48.8,27.2,246.2,1010.4,92.7,10.6,22,1.9,1,,2015-01-04T07:20:20,2015-01-04T16:41:44,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-05,10,-5.7,2.4,10,-11.4,-2.5,-10.9,37.6,0,0,0,,0,0.2,70.7,39.3,288.8,1019.3,35.7,16,103.9,9.1,4,,2015-01-05T07:20:19,2015-01-05T16:42:40,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-06,-5.8,-7.4,-6.5,-5.8,-13.2,-10.1,-13.6,59.1,1.281,100,20.83,snow,0.6,0.3,38.9,19.5,284.8,1024.3,65.4,11.6,54,4.7,2,,2015-01-06T07:20:16,2015-01-06T16:43:36,0.55,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-07,-4.8,-12.3,-7.2,-11.3,-22.1,-14.7,-16.2,50.3,0,0,0,snow,0.4,0.6,57,36.8,290,1016.9,38.9,15.8,97.6,8.4,4,,2015-01-07T07:20:11,2015-01-07T16:44:35,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-08,-6.6,-13.5,-10,-12,-22.5,-17.4,-20,44.2,0,0,0,snow,0.2,0.2,47.7,23.5,268.9,1027.6,15.8,16,117.1,10.1,5,,2015-01-08T07:20:03,2015-01-08T16:45:34,0.61,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-09,0.4,-7.5,-3.2,-4.2,-13.7,-9.1,-12.7,49.2,1.759,100,12.5,"rain,snow",0.4,0.4,47.5,29.4,248.8,1018.4,57.8,14.1,80.6,7,5,,2015-01-09T07:19:53,2015-01-09T16:46:35,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-10,-5,-8.8,-6.8,-9.5,-16.3,-13.2,-18.1,40.5,0,0,0,snow,0.2,0.7,45.1,20.7,273.4,1030.4,4.6,16,121.5,10.5,5,,2015-01-10T07:19:41,2015-01-10T16:47:37,0.68,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-11,2.6,-7.8,-2.1,-0.3,-14.1,-6,-14.7,37.8,0,0,0,snow,0.3,0.5,35.3,17,228.7,1035.9,50.6,16,114.8,9.9,5,,2015-01-11T07:19:27,2015-01-11T16:48:40,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-12,3.6,1.5,2.6,3.4,-1.1,0.9,-2.3,72.6,9.296,100,45.83,"rain,snow",0,2,42.5,14.1,281.7,1025,100,10.9,10.7,0.9,1,,2015-01-12T07:19:10,2015-01-12T16:49:44,0.74,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-13,2.3,-8.5,-3.1,-1.4,-14.2,-8.8,-10.7,56.6,0,0,0,,0,2.4,43.4,28.8,10,1032.8,43.8,16,123.6,10.6,5,,2015-01-13T07:18:51,2015-01-13T16:50:49,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-14,-0.4,-8.6,-4.2,-1.2,-15.1,-9,-10.7,60.9,0,0,0,,0,1.1,31.7,21.4,34.1,1028.8,71.2,16,70.9,6.1,3,,2015-01-14T07:18:30,2015-01-14T16:51:55,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-15,1.2,-3.6,-1.2,-2,-8,-4.7,-8.7,57.4,0,0,0,,0,0.7,37.1,23.7,290.4,1018.3,47.7,15.9,106.5,9.2,5,,2015-01-15T07:18:07,2015-01-15T16:53:02,0.84,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-16,5.8,-6.5,-0.1,1.5,-13.4,-5.3,-10.6,45.8,0,0,0,,0,0.6,51.6,32.9,284.8,1013.4,33.7,15.5,105.7,9.2,5,,2015-01-16T07:17:41,2015-01-16T16:54:09,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-17,-1.1,-8.4,-4.8,-4.7,-15,-9.4,-15.1,45,0,0,0,,0,0.6,35.3,21.4,276.1,1026.9,12.8,16,123.4,10.6,5,,2015-01-17T07:17:14,2015-01-17T16:55:18,0.91,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-18,5.1,-1.1,2.1,5,-5,0.2,-0.4,83.9,51.681,100,62.5,"rain,snow",0,0.6,31.5,14.4,8.2,1014,85.2,8.9,10.4,1,0,,2015-01-18T07:16:44,2015-01-18T16:56:27,0.94,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-19,5.1,2.7,3.8,1.4,-2.6,0,-3.4,61,0.542,100,4.17,rain,0,0.5,46.9,26.5,277.1,1009.3,80.9,16,97.6,8.3,4,,2015-01-19T07:16:12,2015-01-19T16:57:37,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-20,4.3,0.6,2.7,1.6,-3.2,-0.5,-6.8,50.1,0,0,0,,0,0.3,35.3,15,296.2,1013.2,68.7,16,112.3,9.8,5,,2015-01-20T07:15:38,2015-01-20T16:58:47,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-21,1.4,-4,-0.7,1.4,-8.8,-3.5,-12.6,40.7,0,0,0,,0,0.3,14.4,12.4,22.2,1020.3,58.6,15.9,84,7.3,4,,2015-01-21T07:15:02,2015-01-21T16:59:58,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-22,3.9,-0.6,1.2,2.1,-5,-1.5,-6.6,56.1,0,0,0,"rain,snow",0.1,0.5,35.3,19,316.9,1023.4,63.8,14.2,112.1,9.5,5,,2015-01-22T07:14:24,2015-01-22T17:01:10,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-23,3.7,-2.4,0.7,0.9,-6.9,-2.7,-8,52.5,0,0,0,"rain,snow",1.2,0.4,42.5,20,261.1,1023.4,22.6,15.6,130,11.2,5,,2015-01-23T07:13:44,2015-01-23T17:02:22,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-24,3.4,0.4,1.8,1.1,-3.9,-1.5,-1.3,81.3,18.14,100,50,"rain,snow",7.1,2.1,49,21.8,338.1,1000.3,86.5,7.5,33.1,3,2,,2015-01-24T07:13:02,2015-01-24T17:03:35,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-25,5.5,-0.3,2.7,2.2,-5.7,-0.9,-7.5,49,0,0,0,rain,0.8,2,46.4,20.6,293.2,1007.1,57.3,15.9,130.2,11.2,5,,2015-01-25T07:12:18,2015-01-25T17:04:48,0.18,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-26,-0.9,-5.2,-3.7,-4.9,-13.2,-10.4,-9.1,68.1,8.928,100,45.83,snow,4.6,3.3,53,30.8,45,1013.1,98.7,6.9,53.5,4.7,3,,2015-01-26T07:11:32,2015-01-26T17:06:01,0.25,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-27,-1.8,-6.2,-4.3,-6.8,-14,-10.6,-9.2,69.5,8.247,100,37.5,"rain,snow",2.9,8.6,51.1,35.3,347.9,1005.5,78.1,9.8,69.1,6.1,3,,2015-01-27T07:10:44,2015-01-27T17:07:14,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-28,0.6,-8.3,-4.2,-3.2,-15.9,-9.7,-15.8,41,0,0,0,snow,0.1,8.7,40.7,22.2,318,1017.5,14.2,16,142.2,12.4,6,,2015-01-28T07:09:54,2015-01-28T17:08:28,0.28,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-29,1.4,-6.8,-2.6,-0.4,-10.3,-5.4,-11.7,50.7,0,0,0,"rain,snow",0.8,6,29.5,15.1,181.1,1023.3,47.1,16,121.6,10.5,5,,2015-01-29T07:09:03,2015-01-29T17:09:42,0.32,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-30,2.9,-6.7,-0.1,2,-15.3,-4.9,-6.4,64.4,2.396,100,29.17,"rain,snow",0.6,5.4,59,32.8,302.3,1012.4,75.1,12.6,99.7,8.5,5,,2015-01-30T07:08:09,2015-01-30T17:10:56,0.35,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-01-31,-3.3,-10.5,-6.9,-9.6,-19.7,-14.7,-17.4,43.7,0,0,0,,0,4.5,59.9,35.1,308.4,1019.8,5.5,16,154.7,13.5,6,,2015-01-31T07:07:14,2015-01-31T17:12:10,0.39,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-01,2,-6.7,-1.4,1.7,-12.1,-4.3,-9.2,55.9,0.536,100,12.5,"rain,snow",0.9,4.2,36.9,14.2,256.2,1021.3,75.1,14.5,130.3,11.3,5,,2015-02-01T07:06:17,2015-02-01T17:13:24,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-02,0.7,-9.7,-2.8,-2.6,-18.1,-8.5,-5.3,83.6,27.056,100,75,"rain,snow",0.8,5.3,50.6,28.6,18.9,1003.6,91,6.7,27.8,2.5,2,,2015-02-02T07:05:18,2015-02-02T17:14:39,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
